Ethnic Group,Park Hill & Whitgift,Heathrow Villages,Bloomsbury,Worcester Park South,St James's (Westminster),West End (Westminster),Stratford Olympic Park,Motspur Park & Old Malden East,Tudor (Kingston upon Thames),Cranham
"Black, Black British, Black Welsh of African background: Somalilander",1,16,5,0,2,0,37,0,0,0
"Black, Black British, Black Welsh of African background: South African",1,1,1,2,26,4,5,0,1,0
"Black, Black British, Black Welsh of African background: Sudanese",0,8,7,0,15,6,3,0,0,0
"Black, Black British, Black Welsh of African background: Tanzanian",0,0,0,0,0,2,1,0,0,0
"Black, Black British, Black Welsh of African background: Ugandan",10,9,9,0,5,2,16,3,4,3
"Black, Black British, Black Welsh of African background: Zambian",6,0,0,0,2,1,2,0,0,0
"Black, Black British, Black Welsh of African background: Zimbabwean",7,10,3,0,5,3,9,4,3,9
"Black, Black British, Black Welsh of African background: Any other ethnic group",10,9,11,2,8,109,22,1,1,2
"Black, Black British, Black Welsh or Caribbean background",306,300,145,40,168,161,562,53,44,134
"Black, Black British, Black Welsh or Caribbean background: African unspecified",4,21,4,1,8,6,20,2,0,6
"Black, Black British, Black Welsh or Caribbean background: Black and European",1,0,1,0,0,0,2,0,0,0
"Black, Black British, Black Welsh or Caribbean background: Black British",34,48,30,5,23,38,131,11,10,30
"Black, Black British, Black Welsh or Caribbean background: Black/African American",0,3,1,0,1,1,5,0,0,0
"Black, Black British, Black Welsh or Caribbean background: Caribbean",222,183,84,30,108,93,293,34,30,86
"Black, Black British, Black Welsh or Caribbean background: English/Welsh/Scottish/Northern Irish/British",5,2,1,0,0,4,8,0,0,1
"Black, Black British, Black Welsh or Caribbean background: Ghanaian",6,0,0,4,0,0,5,0,0,0
"Black, Black British, Black Welsh or Caribbean background: Mauritian/Seychellois/Maldivian/Sao Tomean/St Helenian",1,0,0,0,1,0,1,0,0,2
"Black, Black British, Black Welsh or Caribbean background: Mixed Black",8,3,3,0,8,4,15,0,1,1
"Black, Black British, Black Welsh or Caribbean background: Nigerian",0,1,0,0,1,0,1,1,0,0
"Black, Black British, Black Welsh or Caribbean background: Other Black, Black unspecified",14,25,8,0,7,2,23,2,1,8
"Black, Black British, Black Welsh or Caribbean background: Other Mixed",6,0,0,0,0,0,38,0,0,0
"Black, Black British, Black Welsh or Caribbean background: Polynesian/Micronesian/Melanesian",0,1,0,0,1,0,0,0,0,0
"Black, Black British, Black Welsh or Caribbean background: Somali",0,5,11,0,2,8,9,0,1,0
"Black, Black British, Black Welsh or Caribbean background: Any other ethnic group",5,8,2,0,8,5,11,3,1,0
Mixed or Multiple ethnic groups,292,583,825,281,639,742,785,372,431,343
Mixed or Multiple ethnic groups: African unspecified,0,1,1,0,3,0,2,1,0,1
Mixed or Multiple ethnic groups: African Asian,1,6,0,0,2,1,8,0,0,0
Mixed or Multiple ethnic groups: African/Arab,1,0,0,0,5,1,23,0,0,0
Mixed or Multiple ethnic groups: Anglo Indian,2,2,2,5,0,1,1,0,1,0
Mixed or Multiple ethnic groups: Arab,0,4,3,0,5,5,6,1,3,1
Mixed or Multiple ethnic groups: Asian (unspecified) and European,0,0,2,1,1,3,1,0,0,1
Mixed or Multiple ethnic groups: Black and Asian,3,13,6,3,4,0,23,14,4,3
Mixed or Multiple ethnic groups: Black and European,0,3,3,0,0,3,3,0,2,3
Mixed or Multiple ethnic groups: Black and White (unspecified),4,5,8,1,4,9,5,3,1,4
Mixed or Multiple ethnic groups: Black British,2,0,2,0,0,0,2,0,0,1
Mixed or Multiple ethnic groups: Brazilian,6,2,4,0,6,5,3,1,2,2
Mixed or Multiple ethnic groups: Caribbean,0,3,6,0,4,0,3,0,1,3
Mixed or Multiple ethnic groups: Caribbean Asian,2,3,8,0,0,0,3,5,1,1
Mixed or Multiple ethnic groups: Chinese,1,1,1,0,1,3,0,2,0,3
Mixed or Multiple ethnic groups: Chinese and other Asian,2,0,1,2,1,1,1,2,2,0
Mixed or Multiple ethnic groups: Chinese and White,1,0,0,2,2,0,3,2,3,0
Mixed or Multiple ethnic groups: English,0,4,1,3,2,2,0,4,0,0
Mixed or Multiple ethnic groups: English/Welsh/Scottish/Northern Irish/British,0,0,4,1,1,4,5,8,5,4
Mixed or Multiple ethnic groups: European and Black African,1,0,1,0,0,1,3,5,0,0
